happiness_rank,country,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,government_corr,continent,family,population,gdp_usd
142,Angola,3.795,0.73,1.125,0.269,0,0.079,0.061,Africa,,30809.787,"$3,620.59 "
143,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049,Africa,,26262.313,$459.26 
144,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099,Africa,,14438.812,"$1,434.06 "
145,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036,Asia,,37171.922,$544.98 
146,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092,Africa,,2254.067,"$7,973.14 "
147,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08,Africa,,18143.215,$349.94 
148,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104,North America,,11123.183,$868.76 
149,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03,Africa,,4818.976,$727.80 
150,Syria,3.462,0.689,0.382,0.539,0.088,0.376,0.144,Asia,,16945.062,$0.00 
151,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444,Africa,,12301.969,$786.53 
152,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064,Asia,,28498.683,$895.34 
153,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097,Africa,,56313.444,"$1,039.74 "
154,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106,Africa,,10975.924,$0.00 
155,Central African Republic,3.083,0.024,0,0.01,0.305,0.218,0.038,Africa,,4666.375,$448.74 
156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,Africa,,11175.379,$306.97 
